,id,src,caption,start,end,width,height
0,161227,/val2014/COCO_val2014_000000161227.jpg,A laptop on the arm of a chair,0,0,1069.6378830083565,600
0,404780,/val2014/COCO_val2014_000000404780.jpg,a person on the beach while playing with a kite ,17409.233642578125,23409.233642578125,932.0388349514564,600
0,402992,/val2014/COCO_val2014_000000402992.jpg,Cattle lie in the grass to chew their cud.,27465.23291015625,33465.23291015625,800.0,600
0,484175,/val2014/COCO_val2014_000000484175.jpg,A man holding a elephant with some kids on the top.,37481.459716796875,43481.459716796875,828.7292817679557,600
0,176275,/val2014/COCO_val2014_000000176275.jpg,Someone is taking a basic shot of the bathroom. ,47512.48388671875,53512.48388671875,899.2974238875878,600
0,764,/val2014/COCO_val2014_000000000764.jpg,an image  of people outside playing frisbee,57554.93408203125,63554.93408203125,874.6355685131196,600
0,145448,/val2014/COCO_val2014_000000145448.jpg,A cat sleeping on a grey tarp on top of a car.,67509.37377929688,73509.37377929688,899.2974238875878,600
0,340701,/val2014/COCO_val2014_000000340701.jpg,A blue and white bus is traveling down the road. ,77948.0986328125,83948.0986328125,803.347280334728,600
0,215914,/val2014/COCO_val2014_000000215914.jpg,Adults play in the snow with balls and over sized mallets.,87762.48974609375,93762.48974609375,903.6144578313254,600
0,347370,/val2014/COCO_val2014_000000347370.jpg,A person that is holding a lime in their hand.,97775.39672851562,103775.39672851562,800.0,600
0,483374,/val2014/COCO_val2014_000000483374.jpg,A man and a woman looking at cell phones.,108003.68383789062,114003.68383789062,903.6144578313254,600
0,23954,/val2014/COCO_val2014_000000023954.jpg,A pair of zebra's eating grass on a field with flamingos in the background.,117823.4638671875,123823.4638671875,800.0,600
0,210981,/val2014/COCO_val2014_000000210981.jpg,People feeding an elephant in a zoo enclosure.,127807.06469726562,133807.06469726562,901.4084507042253,600
0,326798,/val2014/COCO_val2014_000000326798.jpg,A clock mounted on the side of a church tower.,137738.3857421875,143738.3857421875,800.0,600
0,465692,/val2014/COCO_val2014_000000465692.jpg,Person in jacket riding a bicycle on a street.,148153.69067382812,154153.69067382812,899.2974238875878,600
0,224118,/val2014/COCO_val2014_000000224118.jpg,Two bicyclists sitting on a bench with a forest background.,157751.36669921875,163751.36669921875,899.2974238875878,600
0,74331,/val2014/COCO_val2014_000000074331.jpg,This is a case full of yellow bananas. ,167944.2119140625,173944.2119140625,400.3125,600
0,90778,/val2014/COCO_val2014_000000090778.jpg,Old man in a dress white shirt and black bow tie. ,177867.796875,183867.796875,905.6603773584905,600
0,472102,/val2014/COCO_val2014_000000472102.jpg,An woman sleeps in a chair at an airport terminal filled with travelers.,187907.35986328125,193907.35986328125,903.529411764706,600
0,103851,/val2014/COCO_val2014_000000103851.jpg,a person standing near a building with an open umbrella,198049.16284179688,204049.16284179688,400.3125,600
0,63565,/val2014/COCO_val2014_000000063565.jpg,A group of people enjoying a day at the beach.,207997.63891601562,213997.63891601562,663.2124352331606,600
0,50403,/val2014/COCO_val2014_000000050403.jpg,A table with jewelry and a bear covered in various writing.,217897.93090820312,223897.93090820312,450.0,600
0,188958,/val2014/COCO_val2014_000000188958.jpg,A group of snowboarders standing outside a lodge,227941.41796875,233941.41796875,800.0,600
0,236721,/val2014/COCO_val2014_000000236721.jpg,The meal is ready on the tray to be eaten.,237986.03076171875,243986.03076171875,800.0,600
0,291664,/val2014/COCO_val2014_000000291664.jpg,a brown dog with a collar sniffing a red fire hydrant,248256.48364257812,254256.48364257812,551.25,600
0,84463,/val2014/COCO_val2014_000000084463.jpg,Man holding up three almost empty glasses of wine. ,258169.58056640625,264169.58056640625,900.9009009009009,600
0,451915,/val2014/COCO_val2014_000000451915.jpg,The shoreline of a beach on a cloudy day. ,268102.78759765625,274102.78759765625,897.196261682243,600
0,475529,/val2014/COCO_val2014_000000475529.jpg,"Firetruck driving through city with lights on, fast.",278224.8288574219,284224.8288574219,969.6969696969697,600
0,263346,/val2014/COCO_val2014_000000263346.jpg,A large jetliner sitting on top of an airport runway.,288157.4978027344,294157.4978027344,899.2974238875878,600
0,324203,/val2014/COCO_val2014_000000324203.jpg,A kitchen counter with plates of beans and hot dogs.,298376.1337890625,304376.1337890625,800.0,600
0,532571,/val2014/COCO_val2014_000000532571.jpg,A close up shot of a tasty looking deep dish pizza.,308231.7058105469,314231.7058105469,450.0,600
0,89445,/val2014/COCO_val2014_000000089445.jpg,Hamburger with lettuce and tomato on a plate.,318312.4208984375,324312.4208984375,450.0,600
0,276133,/val2014/COCO_val2014_000000276133.jpg,A group of carrots sit in a glass dish.,328333.42578125,334333.42578125,903.529411764706,600
0,573750,/val2014/COCO_val2014_000000573750.jpg,A group of young people walking across a snow covered field.,338228.19873046875,344228.19873046875,800.0,600
0,238039,/val2014/COCO_val2014_000000238039.jpg,there is a goat that has a leash on ,348276.7438964844,354276.7438964844,450.0,600
0,6226,/val2014/COCO_val2014_000000006226.jpg,A train riding on a track near a forest and traffic signs.,358410.6877441406,364410.6877441406,800.0,600
0,254986,/val2014/COCO_val2014_000000254986.jpg,A laptop with a mouse next to a stack of books.,368435.66796875,374435.66796875,800.0,600
0,366421,/val2014/COCO_val2014_000000366421.jpg,A guitar on a bed in a room.,378395.07470703125,384395.07470703125,899.2974238875878,600
0,375063,/val2014/COCO_val2014_000000375063.jpg,A hipster carrying a black bag of luggage on grass.,388468.8146972656,394468.8146972656,450.0,600
0,413522,/val2014/COCO_val2014_000000413522.jpg,Two people flying a kite in the snow near a snow covered mountain.,398580.3850097656,404580.3850097656,899.2974238875878,600
0,148724,/val2014/COCO_val2014_000000148724.jpg,a big train that is on a rail way,408375.78271484375,414375.78271484375,897.196261682243,600
0,75162,/val2014/COCO_val2014_000000075162.jpg,A zebra is standing outside in the snow,418537.27978515625,424537.27978515625,800.0,600
0,152808,/val2014/COCO_val2014_000000152808.jpg,Some cut vegetables are kept in a tray on the table.,428565.15771484375,434565.15771484375,800.0,600
0,449406,/val2014/COCO_val2014_000000449406.jpg,A zebra standing on a dirty rocky field.,438608.40087890625,444608.40087890625,900.9009009009009,600
0,369594,/val2014/COCO_val2014_000000369594.jpg,The small kitchen has a black counter and wooden cabinets.,448633.9328613281,454633.9328613281,399.375,600
0,351130,/val2014/COCO_val2014_000000351130.jpg,a baseball player swings his bat at a ball ,458456.65576171875,464456.65576171875,800.0,600
0,347023,/val2014/COCO_val2014_000000347023.jpg,A man is sprawled out on a wall.,468714.5778808594,474714.5778808594,450.0,600
0,416864,/val2014/COCO_val2014_000000416864.jpg,Mr. and Mrs. Santa Clause standing on the side of a road as Santa points to the sky.,478750.28759765625,484750.28759765625,800.0,600
