,id,src,caption,start,end,width,height
0,22429,/mnist_png/training/0/22429.png,0,0,0,200.0,28
0,46962,/mnist_png/training/0/46962.png,0,17366.21923828125,27366.21923828125,200.0,28
0,13113,/mnist_png/training/1/13113.png,1,32413.67822265625,42413.67822265625,200.0,28
0,15615,/mnist_png/training/4/15615.png,4,47461.130126953125,57461.130126953125,200.0,28
0,46994,/mnist_png/training/6/46994.png,6,62513.885009765625,72513.88500976562,200.0,28
0,45594,/mnist_png/training/7/45594.png,7,77563.73315429688,87563.73315429688,200.0,28
0,41990,/mnist_png/training/4/41990.png,4,92620.76611328125,102620.76611328125,200.0,28
0,36425,/mnist_png/training/6/36425.png,6,107665.88037109375,117665.88037109375,200.0,28
0,52589,/mnist_png/training/4/52589.png,4,122721.84033203125,132721.84033203125,200.0,28
0,4298,/mnist_png/training/7/4298.png,7,137773.38916015625,147773.38916015625,200.0,28
0,38953,/mnist_png/training/2/38953.png,2,152831.83422851562,162831.83422851562,200.0,28
0,4060,/mnist_png/training/9/4060.png,9,167882.72436523438,177882.72436523438,200.0,28
0,53466,/mnist_png/training/5/53466.png,5,182936.740234375,192936.740234375,200.0,28
0,39240,/mnist_png/training/3/39240.png,3,197991.95239257812,207991.95239257812,200.0,28
0,33222,/mnist_png/training/5/33222.png,5,213046.01220703125,223046.01220703125,200.0,28
0,43218,/mnist_png/training/5/43218.png,5,228097.39819335938,238097.39819335938,200.0,28
0,17201,/mnist_png/training/5/17201.png,5,243148.89819335938,253148.89819335938,200.0,28
0,10534,/mnist_png/training/6/10534.png,6,258199.3701171875,268199.3701171875,200.0,28
0,32664,/mnist_png/training/3/32664.png,3,273248.59130859375,283248.59130859375,200.0,28
0,36743,/mnist_png/training/6/36743.png,6,288305.1721191406,298305.1721191406,200.0,28
0,48963,/mnist_png/training/0/48963.png,0,303370.8981933594,313370.8981933594,200.0,28
0,28625,/mnist_png/training/9/28625.png,9,318449.1013183594,328449.1013183594,200.0,28
0,47877,/mnist_png/training/6/47877.png,6,333533.2121582031,343533.2121582031,200.0,28
0,46105,/mnist_png/training/2/46105.png,2,348614.39208984375,358614.39208984375,200.0,28
0,37746,/mnist_png/training/3/37746.png,3,363696.0539550781,373696.0539550781,200.0,28
0,56496,/mnist_png/training/4/56496.png,4,378778.45947265625,388778.45947265625,200.0,28
0,59863,/mnist_png/training/4/59863.png,4,393858.1604003906,403858.1604003906,200.0,28
0,59236,/mnist_png/training/9/59236.png,9,408942.5192871094,418942.5192871094,200.0,28
0,54029,/mnist_png/training/3/54029.png,3,424027.2053222656,434027.2053222656,200.0,28
0,39779,/mnist_png/training/8/39779.png,8,439108.8034667969,449108.8034667969,200.0,28
0,2889,/mnist_png/training/1/2889.png,1,454202.8801269531,464202.8801269531,200.0,28
0,44819,/mnist_png/training/5/44819.png,5,469286.2331542969,479286.2331542969,200.0,28
0,3702,/mnist_png/training/0/3702.png,0,484375.4724121094,494375.4724121094,200.0,28
0,7636,/mnist_png/training/8/7636.png,8,499468.22412109375,509468.22412109375,200.0,28
0,654,/mnist_png/training/7/654.png,7,514557.1853027344,524557.1853027344,200.0,28
0,14962,/mnist_png/training/2/14962.png,2,529641.0393066406,539641.0393066406,200.0,28
