,id,src,caption,start,end,width,height
0,314694,/val2014/COCO_val2014_000000314694.jpg,A young bot sitting at a desk using a laptop computer.,0,0,800.0,600
0,424208,/val2014/COCO_val2014_000000424208.jpg,a t.v. stand that has a t.v. and some other electrical equipment,25757.64111328125,31757.64111328125,800.0,600
0,220716,/val2014/COCO_val2014_000000220716.jpg,a bird with a foot on the top of a pole,35822.612060546875,41822.612060546875,903.529411764706,600
0,302643,/val2014/COCO_val2014_000000302643.jpg,there is a sandwich and salad on a blue and white plate,45741.07080078125,51741.07080078125,800.0,600
0,326564,/val2014/COCO_val2014_000000326564.jpg,"a washroom with a toilet basin, sink, sanitizers and bath tub",55774.671875,61774.671875,450.0,600
0,264787,/val2014/COCO_val2014_000000264787.jpg,A cat is peeking out from under a blanket.,65822.044921875,71822.044921875,803.347280334728,600
0,532827,/val2014/COCO_val2014_000000532827.jpg,The craft table has several pair of scissors.,76068.4599609375,82068.4599609375,803.347280334728,600
0,15596,/val2014/COCO_val2014_000000015596.jpg,Two speed motorcyclers turning a corner very sharply,86308.81811523438,92308.81811523438,901.4084507042253,600
0,139127,/val2014/COCO_val2014_000000139127.jpg,Large group of people traveling on a boat with no covering. ,95974.2490234375,101974.2490234375,903.529411764706,600
0,480536,/val2014/COCO_val2014_000000480536.jpg,a male and a female the male has a cellphone the female a bottle of water,106373.52416992188,112373.52416992188,899.2974238875878,600
0,159233,/val2014/COCO_val2014_000000159233.jpg,Man taking a photograph of a black and silver motorcycle. ,115990.61596679688,121990.61596679688,600.0,600
0,434179,/val2014/COCO_val2014_000000434179.jpg,A picture of coffee and bread on a table.,126041.98388671875,132041.98388671875,800.0,600
0,520478,/val2014/COCO_val2014_000000520478.jpg,A man shrugs while missing a tennis ball in a tennis court.,135967.81982421875,141967.81982421875,899.2974238875878,600
0,224111,/val2014/COCO_val2014_000000224111.jpg,A group of cars on a city a street.,146113.92700195312,152113.92700195312,800.0,600
0,10114,/val2014/COCO_val2014_000000010114.jpg,A picture of a very nice kitchen that is white.,156132.125,162132.125,450.0,600
0,327436,/val2014/COCO_val2014_000000327436.jpg,A beautiful woman with red hair sitting at a table.,166281.32006835938,172281.32006835938,431.25,600
0,427160,/val2014/COCO_val2014_000000427160.jpg,A group of boys are running around playing little league.,175991.96411132812,181991.96411132812,750.0,600
0,360767,/val2014/COCO_val2014_000000360767.jpg,some people riding some bikes right by some boats ,186045.14404296875,192045.14404296875,450.0,600
0,999,/val2014/COCO_val2014_000000000999.jpg,A young man kneeling on top of a base.,196229.11889648438,202229.11889648438,1106.6282420749278,600
0,416818,/val2014/COCO_val2014_000000416818.jpg,A ceiling with lots of multi colored umbrellas hanging from it.,206322.52099609375,212322.52099609375,800.0,600
0,262275,/val2014/COCO_val2014_000000262275.jpg,A young girl in a bright dress rides a horse.,216138.28784179688,222138.28784179688,750.0,600
0,194594,/val2014/COCO_val2014_000000194594.jpg,a couple of cats sit in front of a tub full of water ,226479.21801757812,232479.21801757812,450.0,600
0,211246,/val2014/COCO_val2014_000000211246.jpg,A man standing a the front of a passenger bus.,236647.4521484375,242647.4521484375,899.2974238875878,600
0,207019,/val2014/COCO_val2014_000000207019.jpg,A baseball player wearing a catchers mitt on a field.,0,0,399.375,600
