,id,src,caption,start,end,width,height
0,376718,/val2014/COCO_val2014_000000376718.jpg,A large bed topped with blankets and pillows.,0,0,1049.1803278688526,600
0,310788,/val2014/COCO_val2014_000000310788.jpg,a man sitting in a chair  infront of a computer in front of a window,72428.908203125,78428.908203125,901.4084507042253,600
0,92051,/val2014/COCO_val2014_000000092051.jpg,A bathroom with a white toilet sitting under a window.,82638.82006835938,88638.82006835938,815.2173913043478,600
0,65258,/val2014/COCO_val2014_000000065258.jpg,A makeshift tent is constructed at a camp site.,92748.32299804688,98748.32299804688,800.0,600
0,501142,/val2014/COCO_val2014_000000501142.jpg,there is a cow standing in the water by a boat,102509.13232421875,108509.13232421875,958.4664536741215,600
0,347145,/val2014/COCO_val2014_000000347145.jpg,A vase that has some white flowers in it.,112648.80932617188,118648.80932617188,800.0,600
0,445682,/val2014/COCO_val2014_000000445682.jpg,a close up of a person and a sheep,123185.84814453125,129185.84814453125,640.9556313993173,600
0,352901,/val2014/COCO_val2014_000000352901.jpg,A field full of green plants and fruit.,132828.576171875,138828.576171875,800.0,600
0,576614,/val2014/COCO_val2014_000000576614.jpg,A bunch of bananas hanging from a tree.,142653.47094726562,148653.47094726562,800.0,600
0,265743,/val2014/COCO_val2014_000000265743.jpg,A square white plate topped with meat and veggies.,152797.3779296875,158797.3779296875,800.0,600
0,438373,/val2014/COCO_val2014_000000438373.jpg,A cut in half sandwich sitting on top of plate.,162810.02905273438,168810.02905273438,600.0,600
0,482927,/val2014/COCO_val2014_000000482927.jpg,A train is in a station and is in black and white.,172658.62719726562,178658.62719726562,967.2544080604534,600
0,249658,/val2014/COCO_val2014_000000249658.jpg,A double decker bus traveling down the street in the day.,182693.123046875,188693.123046875,796.6804979253112,600
0,344758,/val2014/COCO_val2014_000000344758.jpg,A ceramic bowl full of a variety of fresh fruit,192935.89428710938,198935.89428710938,869.5652173913044,600
0,47571,/val2014/COCO_val2014_000000047571.jpg,Some people sit in a carriage pulled by a horse. ,202840.50805664062,208840.50805664062,599.0625,600
0,82150,/val2014/COCO_val2014_000000082150.jpg,A male holding video game accessories in front of his face.,212883.89599609375,218883.89599609375,899.2974238875878,600
0,120007,/val2014/COCO_val2014_000000120007.jpg,Baby cow eating apple from hand with wood fence,222976.96118164062,228976.96118164062,899.2974238875878,600
0,66072,/val2014/COCO_val2014_000000066072.jpg,A surfer surfing on the surfboard with an oar in the ocean. ,232996.3720703125,238996.3720703125,800.0,600
0,357335,/val2014/COCO_val2014_000000357335.jpg,A snowboarder is heading down a snowy slope.,243013.751953125,249013.751953125,800.0,600
0,22646,/val2014/COCO_val2014_000000022646.jpg,A man is standing next to some train tracks,252937.35522460938,258937.35522460938,907.8014184397164,600
0,300341,/val2014/COCO_val2014_000000300341.jpg,Two college age boys playing Wii while others look on ,263086.39404296875,269086.39404296875,899.2974238875878,600
0,498804,/val2014/COCO_val2014_000000498804.jpg,A tower of a building that has a clock on it.,273112.4860839844,279112.4860839844,450.0,600
0,213137,/val2014/COCO_val2014_000000213137.jpg,a man on a surf board riding a wave in the water,283155.47314453125,289155.47314453125,884.7926267281106,600
0,167906,/val2014/COCO_val2014_000000167906.jpg,A toy action figure holding a plastic mini teddy bear and a cocktail glass decoration on the snow.,293188.7473144531,299188.7473144531,800.0,600
0,164515,/val2014/COCO_val2014_000000164515.jpg,Three motorcycles parked next to a motor home.,303232.5412597656,309232.5412597656,899.2974238875878,600
0,303365,/val2014/COCO_val2014_000000303365.jpg,This green dufell bag sits next to a brown seat,313061.123046875,319061.123046875,450.0,600
0,287967,/val2014/COCO_val2014_000000287967.jpg,a street a street light a traffic light and some trees,323091.955078125,329091.955078125,399.375,600
0,2164,/val2014/COCO_val2014_000000002164.jpg,Lots of sheep graze on a grass field.,333123.2360839844,339123.2360839844,903.529411764706,600
0,166056,/val2014/COCO_val2014_000000166056.jpg,A picture of water with an intersection as a backdrop.,343338.26904296875,349338.26904296875,600.0,600
0,117432,/val2014/COCO_val2014_000000117432.jpg,This person is riding their horse near the water. ,353286.1630859375,359286.1630859375,635.7615894039735,600
0,73503,/val2014/COCO_val2014_000000073503.jpg,A woman in black jacket next to a black horse.,363263.91796875,369263.91796875,899.2974238875878,600
0,54007,/val2014/COCO_val2014_000000054007.jpg,A young boy holding a baseball bat and a  stick.,373401.6550292969,379401.6550292969,899.2974238875878,600
0,573209,/val2014/COCO_val2014_000000573209.jpg,A crowd of people holding up white umbrellas.,383193.7370605469,389193.7370605469,903.529411764706,600
0,224477,/val2014/COCO_val2014_000000224477.jpg,A person on a surfboard rides on a wave.,393192.5290527344,399192.5290527344,800.0,600
0,145604,/val2014/COCO_val2014_000000145604.jpg,A man pushing a four wheeled art full of bananas.,403417.712890625,409417.712890625,899.2974238875878,600
0,547222,/val2014/COCO_val2014_000000547222.jpg,a boy taking a selfie in a mirror while brushing his teeth ,413454.3029785156,419454.3029785156,450.0,600
0,270738,/val2014/COCO_val2014_000000270738.jpg,a tennis player swings his racket at a tennis ball on a tennis court ,423342.9660644531,429342.9660644531,638.9351081530782,600
0,519649,/val2014/COCO_val2014_000000519649.jpg,A kitchen filled with appliances and lots of cupboard space.,433565.2180175781,439565.2180175781,800.0,600
0,549713,/val2014/COCO_val2014_000000549713.jpg,A woman holding a video game controller in her hand.,443492.5380859375,449492.5380859375,450.0,600
0,222828,/val2014/COCO_val2014_000000222828.jpg,A group of women standing next to each other carrying luggage.,453588.1838378906,459588.1838378906,800.0,600
0,198960,/val2014/COCO_val2014_000000198960.jpg,A group of sheep standing next to each other on a field.,463476.3620605469,469476.3620605469,903.529411764706,600
0,104345,/val2014/COCO_val2014_000000104345.jpg,Two planes flying in a clear blue sky.,473652.580078125,479652.580078125,899.2974238875878,600
0,72873,/val2014/COCO_val2014_000000072873.jpg,A sparse hospital room with an open window.,483539.14404296875,489539.14404296875,800.0,600
0,262391,/val2014/COCO_val2014_000000262391.jpg,"Various people are acknowledging life and having a good time. 
",493723.7980957031,499723.7980957031,897.196261682243,600
