,id,src,caption,start,end,width,height
0,192806,/val2014/COCO_val2014_000000192806.jpg,a woman standing by the road while talking on a cell phone ,0,0,450.0,600
0,516244,/val2014/COCO_val2014_000000516244.jpg,A variety of healthy fruits placed on a table.,48319.77880859375,54319.77880859375,800.0,600
0,563271,/val2014/COCO_val2014_000000563271.jpg,These young skateboarders are enjoying an outdoor session,58396.287841796875,64396.287841796875,869.5652173913044,600
0,74280,/val2014/COCO_val2014_000000074280.jpg,A boat sails through frigid water with icebergs.,68296.31079101562,74296.31079101562,897.196261682243,600
0,327769,/val2014/COCO_val2014_000000327769.jpg,A cat lying down in a sink in a bathroom.,78438.52294921875,84438.52294921875,905.6603773584905,600
0,417957,/val2014/COCO_val2014_000000417957.jpg,An empty brown bench standing in a field next to a wooded area.,88513.4931640625,94513.4931640625,1002.6109660574413,600
0,530509,/val2014/COCO_val2014_000000530509.jpg,A young man holding a kite while sanding in a grassy park.,98545.36328125,104545.36328125,400.3125,600
0,297787,/val2014/COCO_val2014_000000297787.jpg,A person in a room with knives and scissors hanging on the wall.,108412.0380859375,114412.0380859375,903.529411764706,600
0,559707,/val2014/COCO_val2014_000000559707.jpg,"A plate of broccoli, ham, pasta and parmesan.",118350.4482421875,124350.4482421875,448.125,600
0,93391,/val2014/COCO_val2014_000000093391.jpg,Two zebras and two wildebeests stand next to a watering hole.,129338.45703125,135338.45703125,800.0,600
0,306879,/val2014/COCO_val2014_000000306879.jpg,A boy and a girl trying to fly a kite.,138417.77294921875,144417.77294921875,800.0,600
0,116095,/val2014/COCO_val2014_000000116095.jpg,There are four brown and white cows in a row and a couple more behind them.,148507.38720703125,154507.38720703125,800.0,600
0,452623,/val2014/COCO_val2014_000000452623.jpg,Adult holding food items in to go tray at outdoor event.,158482.80322265625,164482.80322265625,918.6602870813397,600
0,561589,/val2014/COCO_val2014_000000561589.jpg,a man is sitting in front of some food,168624.60620117188,174624.60620117188,399.375,600
0,376246,/val2014/COCO_val2014_000000376246.jpg,Snowboarder in a red jacket moving near a row of trees. ,178490.98999023438,184490.98999023438,899.2974238875878,600
0,214727,/val2014/COCO_val2014_000000214727.jpg,A man standing in a bathroom in front of a mirror.,188588.84497070312,194588.84497070312,800.0,600
0,20779,/val2014/COCO_val2014_000000020779.jpg,a person riding on a horse drawn carriage,198830.08203125,204830.08203125,800.0,600
0,20912,/val2014/COCO_val2014_000000020912.jpg,A collection of several items that are placed near each other. ,208656.44506835938,214656.44506835938,800.0,600
0,414481,/val2014/COCO_val2014_000000414481.jpg,A black and white cat sleeps next to a stuffed bear.,218841.83911132812,224841.83911132812,777.3279352226721,600
0,427649,/val2014/COCO_val2014_000000427649.jpg,A small white boat sits on some calm water under a snow capped mountain.,229032.8701171875,235032.8701171875,450.0,600
0,162429,/val2014/COCO_val2014_000000162429.jpg,tree are two woman standing in the rain under a pink umbrella,238680.34204101562,244680.34204101562,798.3367983367984,600
0,99736,/val2014/COCO_val2014_000000099736.jpg,a piece of broccoli laying on a couch,248694.88818359375,254694.88818359375,565.3125,600
0,442929,/val2014/COCO_val2014_000000442929.jpg,A crab cake on a bun with lettuce and tomato and a side of cole slaw.,258841.09399414062,264841.0939941406,800.0,600
0,334746,/val2014/COCO_val2014_000000334746.jpg,sliced meat and sliced vegetables arranged on a white plate next to a partially filled wine glass. ,268870.9470214844,274870.9470214844,800.0,600
0,181462,/val2014/COCO_val2014_000000181462.jpg,A dead cow corpse laying on top of a beach.,278801.8249511719,284801.8249511719,800.0,600
0,109178,/val2014/COCO_val2014_000000109178.jpg,Urinals are lined up on a wall in a bathroom.,288902.3740234375,294902.3740234375,800.0,600
0,358296,/val2014/COCO_val2014_000000358296.jpg,Snowboard rack at bottom of ski hill near building.,298875.9912109375,304875.9912109375,800.0,600
0,508996,/val2014/COCO_val2014_000000508996.jpg,Train track running alongside a mountain with an orange train car in distance.,309057.55908203125,315057.55908203125,399.375,600
0,224437,/val2014/COCO_val2014_000000224437.jpg, both sides of a phone in an ad,318960.3371582031,324960.3371582031,817.0212765957447,600
0,293333,/val2014/COCO_val2014_000000293333.jpg,The white train is at a platform at evening time.,328869.8688964844,334869.8688964844,820.5128205128206,600
0,287033,/val2014/COCO_val2014_000000287033.jpg,this is a cat on a chair with a hat,338878.52099609375,344878.52099609375,800.0,600
0,555953,/val2014/COCO_val2014_000000555953.jpg,A small airplane flying over a field filled with people.,348950.9182128906,354950.9182128906,800.0,600
0,574487,/val2014/COCO_val2014_000000574487.jpg,A group of people on a field flying some kites in the sky.,360407.4951171875,366407.4951171875,897.196261682243,600
0,222782,/val2014/COCO_val2014_000000222782.jpg,A large AMOCO sign above a sidewalk next to a street.,369081.69921875,375081.69921875,476.25,600
0,103705,/val2014/COCO_val2014_000000103705.jpg,A man is laying in a bed next to a window.,379058.3742675781,385058.3742675781,903.529411764706,600
0,190291,/val2014/COCO_val2014_000000190291.jpg,A group of people sitting at a table holding different pizzas.,389083.169921875,395083.169921875,800.0,600
0,193271,/val2014/COCO_val2014_000000193271.jpg,A kitchen filled with black appliances and lots of counter top space.,399119.4860839844,405119.4860839844,900.0,600
0,356877,/val2014/COCO_val2014_000000356877.jpg,a young female holding a tennis racket in a tennis court,409722.837890625,415722.837890625,400.3125,600
0,438955,/val2014/COCO_val2014_000000438955.jpg,a bunch of people that are skiing on some snow,419091.9111328125,425091.9111328125,1267.3267326732673,600
